x,y,z
-0.7112,-0.9761,-0.6654
3.9334,3.8332,3.8802
-3.9824,-4.3159,-4.3560
1.7036,1.8738,1.7888
-5.5696,-5.8316,-5.5567
-4.1856,-4.1432,-4.6473
-3.7793,-3.3327,-4.0327
-2.5692,-2.8026,-2.5876
0.2696,0.6471,0.7991
5.3489,5.9512,5.2996
-4.3534,-4.4322,-4.3571
0.9520,1.5059,0.9745
1.3157,1.2862,1.2130
5.6781,5.0181,5.1455
4.3748,4.3266,4.1177
0.9316,0.4778,0.6486
4.0692,3.9160,3.7969
-1.4230,-1.6374,-1.7677
-3.9324,-3.6797,-4.1298
-0.8992,-1.3593,-1.3355
2.8921,3.0706,3.2538
2.7988,2.7759,2.4379
0.3027,0.2440,0.0823
-1.8118,-1.8339,-1.3488
-0.1020,-0.2880,-0.3170
-2.3135,-2.7382,-2.6962
4.9829,5.2445,4.9476
2.2530,1.9289,2.0745
-0.4023,-0.2694,-0.3328
-2.9224,-3.3652,-3.0027
-5.2769,-5.5894,-5.1631
1.2496,1.1303,1.3816
4.3549,4.1774,4.0875
-0.5626,-0.5538,-0.4662
4.5139,4.3341,4.5797
-1.3916,-1.6779,-1.2189
-0.2426,-0.3462,-0.0045
-2.9951,-3.4549,-3.3314
0.9644,0.6915,0.7861
3.1513,2.9060,3.0942
3.6486,3.8283,3.5463
2.8188,2.6429,3.0633
-2.2561,-1.7769,-1.9633
-5.3679,-5.5282,-5.5609
-3.0120,-3.0103,-2.8371
3.2728,3.2563,3.2384
-3.1865,-3.3356,-3.0735
5.8156,5.8491,5.5291
4.3009,4.0875,4.5036
1.6143,1.7608,1.3895
-1.2850,-1.9120,-1.6067
-3.4235,-3.7210,-3.6507
2.9981,2.9111,2.5161
1.8562,1.6936,1.4841
-2.7123,-2.3264,-2.8661
-0.3544,-0.6300,-0.7788
-5.2229,-5.4238,-5.5607
4.9902,5.1879,4.8637
-1.2463,-0.7921,-1.4243
1.7186,1.6431,1.8429
1.6409,1.7199,1.2724
-1.4385,-1.1423,-1.0153
-4.4824,-4.8346,-4.3755
3.3604,3.5605,3.7140
-5.4777,-5.4937,-5.2773
4.9210,4.8265,5.2042
-5.8526,-5.4992,-5.2712
-4.0464,-3.9293,-4.1237
0.0078,-0.0929,0.0456
-5.5721,-5.7889,-5.6837
-4.3406,-4.7362,-4.4008
2.9704,2.9479,3.0404
-0.0928,-0.2908,0.0714
-3.4327,-3.2951,-3.6252
0.2036,-0.1856,-0.1876
-3.6449,-3.8415,-3.7766
-0.1443,-0.5142,-0.8749
-4.2947,-4.7507,-4.5832
5.0322,4.9710,4.8545
-2.0920,-2.5170,-2.3272
0.8104,1.0023,0.8749
-2.0747,-2.2102,-2.6589
2.2453,2.1866,2.3298
0.3715,0.2419,-0.0835
-1.4591,-1.5161,-1.2803
-5.7202,-5.5987,-5.6268
-0.4286,-0.3605,-0.4364
0.6823,0.5117,0.4464
1.1363,1.2465,1.1750
0.4774,0.1927,0.4334
1.7436,1.4597,1.0681
-0.1552,-0.2951,-0.8046
1.5277,1.7616,2.2390
0.5189,0.0282,0.3011
1.9708,2.0431,2.2458
2.7835,2.8051,2.4550
-0.2730,-0.2705,-0.4926
-2.3987,-2.7125,-2.6001
-3.3963,-3.5303,-3.6957
1.7391,1.4282,1.2906
